Manufacturer,Name,Speed,Glide,Turn,Fade,Purchase Url
Above-Ground-Level,Cedar,11,5,0,3,https://infinitediscs.com/Above-Ground-Level-Cedar?tag=3c8c6529
Above-Ground-Level,Cypress,12,4.8,-1.5,2.2,https://infinitediscs.com/Above-Ground-Level-Cypress?tag=3c8c6529
Above-Ground-Level,Locust,9,4,-1,3,https://infinitediscs.com/Above-Ground-Level-Locust?tag=3c8c6529
Above-Ground-Level,Sycamore,7,4.9,0,1,https://infinitediscs.com/Above-Ground-Level-Sycamore?tag=3c8c6529
Above-Ground-Level,Magnolia,5,4.1,0,1.9,https://infinitediscs.com/Above-Ground-Level-Magnolia?tag=3c8c6529
Above-Ground-Level,Baobab,4,1,1,3,https://infinitediscs.com/Above-Ground-Level-Baobab?tag=3c8c6529
Above-Ground-Level,Madrone,3,3,0,1,https://infinitediscs.com/Above-Ground-Level-Madrone?tag=3c8c6529
Above-Ground-Level,Manzanita,2.9,2.9,0,1.9,https://infinitediscs.com/Above-Ground-Level-Manzanita?tag=3c8c6529
Above-Ground-Level,Ponderosa,2,4,-1,0,https://infinitediscs.com/Above-Ground-Level-Ponderosa?tag=3c8c6529
Axiom,Defy,11.2,4.2,-0.2,3,https://infinitediscs.com/Axiom-Defy?tag=3c8c6529
Axiom,Delirium,14.5,4.9,-0.5,3,https://infinitediscs.com/Axiom-Delirium?tag=3c8c6529
Axiom,Excite,13.9,5.3,-2.2,2,https://infinitediscs.com/Axiom-Excite?tag=3c8c6529
Axiom,Fireball,9.8,3.1,-0.1,3.7,https://infinitediscs.com/Axiom-Fireball?tag=3c8c6529
Axiom,Mayhem,13,5,-1.6,2,https://infinitediscs.com/Axiom-Mayhem?tag=3c8c6529
Axiom,Panic,13,4.2,-0.4,3.1,https://infinitediscs.com/Axiom-Panic?tag=3c8c6529
Axiom,Tantrum,14,4.9,-1.5,2.7,https://infinitediscs.com/Axiom-Tantrum?tag=3c8c6529
Axiom,Tenacity,13,5,-2.4,2,https://infinitediscs.com/Axiom-Tenacity?tag=3c8c6529
Axiom,Thrill,11,4,0,3.1,https://infinitediscs.com/Axiom-Thrill?tag=3c8c6529
Axiom,Vanish,11.5,5,-2.7,1.9,https://infinitediscs.com/Axiom-Vanish?tag=3c8c6529
Axiom,Virus,9.6,5,-3.4,1,https://infinitediscs.com/Axiom-Virus?tag=3c8c6529
Axiom,Clash,7,4.5,-0.9,2.5,https://infinitediscs.com/Axiom-Clash?tag=3c8c6529
Axiom,Crave,6.5,5,-0.8,1.2,https://infinitediscs.com/Axiom-Crave?tag=3c8c6529
